City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Lalmohan,BD,22.3384,90.7419,85.87,74,100,7.11,overcast clouds
327,Wamba,NG,8.9333,8.6,70.48,98,100,4.09,moderate rain
328,Lisakovsk,KZ,52.5369,62.4936,70.07,35,90,7.2,overcast clouds
329,Mildura,AU,-34.2,142.15,64.08,48,98,3.8,overcast clouds
330,Sorland,NO,67.667,12.6934,50.65,72,66,10.74,broken clouds
331,Kuytun,RU,54.3419,101.5036,58.73,79,98,9.44,light rain
332,Chuy,UY,-33.6971,-53.4616,52.43,95,49,6.85,scattered clouds
333,Airai,TL,-8.9266,125.4092,76.5,39,44,4.47,scattered clouds
334,Kajaani,FI,64.2273,27.7285,44.65,81,0,9.22,clear sky
335,Panguna,PG,-6.3164,155.4848,80.98,63,31,3.67,light rain
336,Necochea,AR,-38.5473,-58.7368,53.8,80,100,8.32,overcast clouds
337,Jutai,BR,-5.1833,-68.9,76.3,76,55,2.08,broken clouds
338,North Bend,US,43.4065,-124.2243,61.92,92,100,5.75,mist
339,Vammala,FI,61.3333,22.9,41.7,86,22,6.67,few clouds
340,Caibarien,CU,22.5206,-79.4669,74.52,80,89,11.81,overcast clouds
341,Zhigansk,RU,66.7697,123.3711,47.37,61,53,12.75,broken clouds
342,Saint-Augustin,CA,51.226,-58.6502,63.57,95,100,6.29,overcast clouds
343,Tessalit,ML,20.1986,1.0114,88.66,15,46,4.05,scattered clouds
344,Bay Roberts,CA,47.5999,-53.2648,70.14,94,46,1.01,scattered clouds
